index,dataset_variant,config_name,model_class,scaler,resampling,pca,mean,std,count,generalization_score,complexity_score
49,IMPUTED,config_kfold,KNeighborsClassifier,standard,none,on,0.3324423322933147,0.06611095986994994,4473,0.2663313724233648,3
316,IMPUTED,config_loo,QuadraticDiscriminantAnalysis,standard,smote,off,0.31600098456858366,0.04975809366006372,24,0.26624289090851994,3
1264,STRICT,config_random80,SVC,none,smote,off,0.43542076758324216,0.16958021841265022,456,0.26584054917059197,2
452,IMPUTED,config_random80,LogisticRegression,maxabs,smote,off,0.4333915054631949,0.1676735329777353,480,0.2657179724854596,2
441,IMPUTED,config_random80,LinearDiscriminantAnalysis,robust,undersample,on,0.4522191939765466,0.18704423521045993,280,0.26517495876608665,3
1293,STRICT,config_strat80,GaussianNB,none,smoteenn,off,0.39819106544107774,0.1330534887348637,240,0.2651375767062141,2
1300,STRICT,config_strat80,GaussianNB,robust,smoteenn,on,0.4321937353999935,0.1670933954304006,1680,0.2651003399695929,4
127,IMPUTED,config_kfold,QuadraticDiscriminantAnalysis,robust,smote,on,0.332580742576232,0.06764903359912504,3360,0.26493170897710694,4
1451,STRICT,config_strat80,SVC,robust,none,off,0.38726742161010225,0.12237579399188105,120,0.2648916276182212,2
128,IMPUTED,config_kfold,QuadraticDiscriminantAnalysis,robust,smoteenn,off,0.33159202048320074,0.0667284415972537,480,0.264863578885947,3
467,IMPUTED,config_random80,LogisticRegression,robust,smoteenn,on,0.44094619745671304,0.17631597168218288,3360,0.26463022577453016,3
860,STRICT,config_kfold,QuadraticDiscriminantAnalysis,robust,smote,off,0.32887222626664964,0.06430728821331175,480,0.2645649380533379,3
870,STRICT,config_kfold,QuadraticDiscriminantAnalysis,standard,smoteenn,off,0.3405191907012506,0.07632564461225436,480,0.26419354608899626,3
47,IMPUTED,config_kfold,KNeighborsClassifier,robust,undersample,on,0.3409161768211724,0.07684942132076454,8946,0.26406675550040787,4
893,STRICT,config_kfold,SVC,maxabs,smote,on,0.41511777973246233,0.15119962446223328,6272,0.26391815527022905,4
1425,STRICT,config_strat80,RandomForestClassifier,maxabs,smoteenn,off,0.37760180285806844,0.11408329754347568,5760,0.26351850531459275,3
555,IMPUTED,config_strat80,GaussianNB,maxabs,smoteenn,on,0.42542640349371375,0.162249721690903,1680,0.26317668180281073,4
462,IMPUTED,config_random80,LogisticRegression,robust,none,off,0.42502880513247643,0.162161937294819,120,0.26286686783765745,1
312,IMPUTED,config_loo,QuadraticDiscriminantAnalysis,robust,undersample,off,0.33490976591308835,0.07214319429487911,12,0.26276657161820927,3
199,IMPUTED,config_loo,GaussianNB,robust,smoteenn,on,0.3110468894343636,0.048337467058649,69,0.2627094223757146,4
1004,STRICT,config_loo,LogisticRegression,maxabs,smoteenn,off,0.3728764719494147,0.11059449307918441,48,0.2622819788702303,2
537,IMPUTED,config_random80,SVC,robust,smote,on,0.4528679555170691,0.19126803195711076,3360,0.2615999235599583,4
224,IMPUTED,config_loo,KNeighborsClassifier,robust,smote,off,0.3123390692102787,0.05076400727809369,128,0.26157506193218505,3
1459,STRICT,config_strat80,SVC,standard,none,off,0.38504151934433245,0.123845633430803,120,0.26119588591352944,2
861,STRICT,config_kfold,QuadraticDiscriminantAnalysis,robust,smote,on,0.3409578868282721,0.07991760189682728,3360,0.2610402849314448,4
1244,STRICT,config_random80,RandomForestClassifier,none,smote,off,0.40641027258819834,0.14551783926253017,5472,0.26089243332566814,2
688,IMPUTED,config_strat80,QuadraticDiscriminantAnalysis,standard,undersample,off,0.38719433513109597,0.12632144259219596,120,0.2608728925389,3
308,IMPUTED,config_loo,QuadraticDiscriminantAnalysis,robust,smote,off,0.3209444662332725,0.06034102117654923,24,0.2606034450567233,3
374,IMPUTED,config_random80,GaussianNB,none,none,off,0.42731653200412506,0.16681013542929507,60,0.26050639657483,1
366,IMPUTED,config_random80,GaussianNB,maxabs,none,off,0.42731653200412506,0.16681013542929507,60,0.26050639657483,2
378,IMPUTED,config_random80,GaussianNB,robust,none,off,0.42731653200412506,0.16681013542929507,60,0.26050639657483,2
386,IMPUTED,config_random80,GaussianNB,standard,none,off,0.42731653200412506,0.16681013542929507,60,0.26050639657483,2
351,IMPUTED,config_loo,SVC,robust,none,on,0.3572586086815077,0.09692354212567188,60,0.2603350665558358,3
868,STRICT,config_kfold,QuadraticDiscriminantAnalysis,standard,smote,off,0.31688953113684026,0.0568925192818882,480,0.25999701185495205,3
623,IMPUTED,config_strat80,LinearDiscriminantAnalysis,robust,smoteenn,on,0.43956571959792373,0.17968510527039788,560,0.25988061432752585,3
1001,STRICT,config_loo,LogisticRegression,maxabs,none,on,0.39116292378160156,0.13167178525705248,70,0.2594911385245491,2
136,IMPUTED,config_kfold,QuadraticDiscriminantAnalysis,standard,smoteenn,off,0.3243474952440811,0.06501871338102617,480,0.2593287818630549,3
1160,STRICT,config_random80,LinearDiscriminantAnalysis,maxabs,smoteenn,on,0.41135006667112844,0.15216405946316205,560,0.25918600720796636,3
1121,STRICT,config_random80,GaussianNB,standard,smote,off,0.37229226065449456,0.11315202764762496,228,0.2591402330068696,3
1299,STRICT,config_strat80,GaussianNB,robust,smoteenn,off,0.397959821258598,0.14002827010154617,240,0.25793155115705185,3
370,IMPUTED,config_random80,GaussianNB,maxabs,smoteenn,off,0.3895807165444072,0.13212881017354897,240,0.25745190637085824,3
120,IMPUTED,config_kfold,QuadraticDiscriminantAnalysis,none,none,off,0.31665332479969954,0.05963939650084109,120,0.25701392829885844,1
1113,STRICT,config_random80,GaussianNB,robust,smote,off,0.375499426131658,0.11850024599784768,228,0.2569991801338103,3
164,IMPUTED,config_kfold,SVC,none,none,off,0.3226064608000137,0.06581364313831566,203,0.25679281766169804,1
958,STRICT,config_loo,KNeighborsClassifier,robust,smote,off,0.3081240818783944,0.051344710803286175,128,0.25677937107510823,3
295,IMPUTED,config_loo,QuadraticDiscriminantAnalysis,maxabs,none,on,0.30046690086397765,0.04388681781920136,14,0.2565800830447763,3
1376,STRICT,config_strat80,LogisticRegression,none,smote,off,0.387069907101204,0.1306261592569531,480,0.2564437478442509,1
1307,STRICT,config_strat80,GaussianNB,standard,smoteenn,off,0.3961453201608634,0.13970579000651082,240,0.2564395301543526,3
1084,STRICT,config_loo,SVC,robust,none,on,0.3812714138194738,0.12536877644968542,58,0.2559026373697884,3
774,STRICT,config_kfold,KNeighborsClassifier,robust,none,off,0.30897991767547456,0.05315849385637924,640,0.25582142381909534,2
1176,STRICT,config_random80,LinearDiscriminantAnalysis,standard,none,on,0.4409941621388963,0.18520319327260754,140,0.25579096886628877,2
420,IMPUTED,config_random80,KNeighborsClassifier,standard,undersample,off,0.41552942363708595,0.16007994769999237,640,0.25544947593709355,3
1171,STRICT,config_random80,LinearDiscriminantAnalysis,robust,smoteenn,off,0.4048400862396571,0.15011136528870972,80,0.2547287209509474,2
1370,STRICT,config_strat80,LogisticRegression,maxabs,smote,on,0.44654813933596016,0.192220387848171,3360,0.2543277514877892,3
373,IMPUTED,config_random80,GaussianNB,maxabs,undersample,on,0.40050962563549586,0.14627077555097218,840,0.2542388500845237,4
222,IMPUTED,config_loo,KNeighborsClassifier,robust,none,off,0.2905425855059761,0.03641158963719226,32,0.25413099586878385,2
1318,STRICT,config_strat80,KNeighborsClassifier,maxabs,undersample,on,0.3901892288405655,0.13632857498537074,4480,0.25386065385519474,4
126,IMPUTED,config_kfold,QuadraticDiscriminantAnalysis,robust,smote,off,0.31791740603121643,0.0641173471638716,480,0.2538000588673448,3
453,IMPUTED,config_random80,LogisticRegression,maxabs,smote,on,0.44593297202850746,0.19224730317762284,3360,0.2536856688508846,3
1045,STRICT,config_loo,QuadraticDiscriminantAnalysis,robust,smoteenn,on,0.3370638311141924,0.08354985232034938,168,0.253513978793843,4
1316,STRICT,config_strat80,KNeighborsClassifier,maxabs,smoteenn,on,0.3804786914639017,0.12729688670205502,8960,0.25318180476184665,4
