dataset_variant,config_name,model_class,scaler,resampling,pca,mean,std,median,min,max,count,range,cv_ratio
IMPUTED,config_strat80,GaussianNB,maxabs,undersample,off,0.48437022478064234,0.14073874092733393,0.5034847357280339,0.1488652989562745,0.6908212560386473,120,0.5419559570823728,0.2905602651175979
IMPUTED,config_strat80,GaussianNB,robust,undersample,off,0.48437022478064234,0.14073874092733393,0.5034847357280339,0.1488652989562745,0.6908212560386473,120,0.5419559570823728,0.2905602651175979
IMPUTED,config_strat80,GaussianNB,standard,undersample,off,0.48437022478064234,0.14073874092733393,0.5034847357280339,0.1488652989562745,0.6908212560386473,120,0.5419559570823728,0.2905602651175979
STRICT,config_loo,LogisticRegression,standard,undersample,on,0.4842994511512507,0.03356114971388464,0.48223380406606214,0.4072105485482321,0.5588390654545202,168,0.15162851690628815,0.06929834348171336
IMPUTED,config_kfold,LogisticRegression,standard,smote,off,0.48419486156424235,0.0327773657060213,0.48559362761309144,0.3911506414500514,0.5954907095537068,960,0.20434006810365535,0.06769457569237843
IMPUTED,config_strat80,LinearDiscriminantAnalysis,none,smoteenn,off,0.48416482518409965,0.1822691374738475,0.5174307236488221,0.1488652989562745,0.92783056924063,80,0.7789652702843555,0.3764609240345809
STRICT,config_loo,LogisticRegression,robust,undersample,off,0.48360076513906836,0.024270607239530458,0.48253340223388963,0.4359784161562407,0.518113723719013,24,0.08213530756277226,0.05018728047824944
IMPUTED,config_strat80,LinearDiscriminantAnalysis,standard,none,on,0.4833543782902676,0.14340788848659586,0.4596940590980118,0.0556483802745148,0.7679476477883045,140,0.7122992675137897,0.29669305778063204
STRICT,config_kfold,LogisticRegression,robust,undersample,off,0.48322894545798134,0.04050004414584269,0.4822729397200566,0.3273843327767649,0.5772308540501842,480,0.24984652127341928,0.0838112959219748
IMPUTED,config_random80,SVC,standard,smote,off,0.48284061286861424,0.13610416914805268,0.4676593023870102,0.2270531400966183,0.8320502943378436,480,0.6049971542412254,0.2818821895271846
IMPUTED,config_strat80,LogisticRegression,robust,none,on,0.48263765406474923,0.17950238181868822,0.4965077541203082,0.0,0.92783056924063,840,0.92783056924063,0.37191955560642337
IMPUTED,config_random80,LogisticRegression,robust,undersample,off,0.4825021324813706,0.1452570885876186,0.4526019054848144,0.1136584015456127,0.7679476477883045,240,0.6542892462426918,0.30104963026920295
IMPUTED,config_strat80,LinearDiscriminantAnalysis,maxabs,none,off,0.48188161713903616,0.16203236430180543,0.49607021632979176,0.2270531400966183,0.7679476477883045,20,0.5408945076916862,0.3362493163026275
IMPUTED,config_strat80,LinearDiscriminantAnalysis,none,none,off,0.48188161713903616,0.16203236430180543,0.49607021632979176,0.2270531400966183,0.7679476477883045,20,0.5408945076916862,0.3362493163026275
