dataset_variant,config_name,model_key,scaler,resampling,pca,mcc__mean,mcc__std,mcc__count,mcc__median,balanced_accuracy__mean,balanced_accuracy__std,balanced_accuracy__count,balanced_accuracy__median,f1__mean,f1__std,f1__count,f1__median,accuracy__mean,accuracy__std,accuracy__count,accuracy__median,precision__mean,precision__std,precision__count,precision__median,recall__mean,recall__std,recall__count,recall__median
IMPUTED,config_strat80,LinearDiscriminantAnalysis_svd,robust,undersample,off,0.5049628739650528,0.14345398215547478,40,0.5278622408751513,0.7705314009661836,0.07770007035602462,40,0.7910628019323671,0.6504292424196852,0.09762014320800655,40,0.6678260869565218,0.7625,0.06890280222056397,40,0.765625,0.5665295402911502,0.10569071434269467,40,0.554945054945055,0.7888888888888889,0.1546984936307524,40,0.8333333333333333
IMPUTED,config_strat80,LinearDiscriminantAnalysis_svd,standard,undersample,off,0.5049628739650528,0.14345398215547478,40,0.5278622408751513,0.7705314009661836,0.07770007035602462,40,0.7910628019323671,0.6504292424196852,0.09762014320800655,40,0.6678260869565218,0.7625,0.06890280222056397,40,0.765625,0.5665295402911502,0.10569071434269467,40,0.554945054945055,0.7888888888888889,0.1546984936307524,40,0.8333333333333333
IMPUTED,config_strat80,LogisticRegression,none,smoteenn,off,0.5048884432056985,0.1608262705816785,480,0.5516772843673705,0.7710849436392915,0.08327872565035051,480,0.8019323671497585,0.6544227427736455,0.1045058059113561,480,0.6666666666666666,0.751953125,0.08960392078862485,480,0.75,0.5578115943832855,0.1221488877892244,480,0.5454545454545454,0.8148148148148148,0.12969864838119446,480,0.8888888888888888
IMPUTED,config_random80,LogisticRegression,standard,smote,on,0.5038366044509932,0.13946338080679171,3360,0.4970501217477084,0.7809628136741436,0.07949188754496293,3360,0.7708333333333333,0.6313862830585589,0.10497913605857336,3360,0.631578947368421,0.770219494047619,0.06783430824775166,3360,0.75,0.5403591056663536,0.12505026159826943,3360,0.5384615384615384,0.7972596880632594,0.15103434981156974,3360,0.7777777777777778
IMPUTED,config_strat80,LinearDiscriminantAnalysis_svd,maxabs,undersample,on,0.503752858758714,0.14684744197373173,280,0.5266597241998389,0.7704623878536923,0.07823317269091676,280,0.786231884057971,0.6511899418326653,0.09842284934406519,280,0.6666666666666666,0.7589285714285714,0.07401588082593707,280,0.765625,0.5621244044176374,0.10762519719490296,280,0.5590277777777778,0.7968253968253969,0.1450957086232701,280,0.8333333333333333
STRICT,config_loo,LinearDiscriminantAnalysis_svd,standard,smote,on,0.500794012486509,0.036113819083347314,56,0.4977837854963974,0.7695498010524965,0.021922671280701158,56,0.7677448337825696,0.6540082602100262,0.024272028009335877,56,0.6530612244897959,0.769546332046332,0.014386920588176992,56,0.7702702702702703,0.5704145231525682,0.020741324869561345,56,0.5714285714285714,0.7695578231292517,0.05816317489242792,56,0.7619047619047619
IMPUTED,config_strat80,SVC_linear,none,smoteenn,off,0.5007479171488539,0.17430587510837606,480,0.5266597241998389,0.7709842995169082,0.09211219465673506,480,0.78743961352657,0.6507671011119412,0.11231923355986471,480,0.6666666666666666,0.7403645833333333,0.0951676764163209,480,0.75,0.5406103763624501,0.12448540120227325,480,0.5294117647058824,0.8409722222222222,0.1423071584769991,480,0.8888888888888888
STRICT,config_kfold,LogisticRegression,standard,undersample,on,0.5005617871726152,0.048476733127670396,3360,0.504111023948038,0.7672284494605923,0.027126095118897256,3360,0.7693903318903319,0.6488727929972435,0.03381154433774353,3360,0.6514951714951714,0.7543280162639768,0.02290169225913398,3360,0.7566666666666666,0.563475032373805,0.03508724106760826,3360,0.5632539682539682,0.7970886243386244,0.05930360896467933,3360,0.805
IMPUTED,config_strat80,SVC_linear,robust,undersample,on,0.5003894663102759,0.19422744046129528,1680,0.5204358386562267,0.765378421900161,0.10282990745282777,1680,0.7826086956521738,0.6387334058359727,0.15476165631881372,1680,0.6666666666666666,0.7583333333333333,0.09602272159927232,1680,0.75,0.561665836037178,0.16181957941053227,1680,0.5454545454545454,0.7814814814814814,0.21147552450563234,1680,0.8888888888888888
IMPUTED,config_strat80,LogisticRegression,robust,undersample,on,0.49998903529009103,0.15992601708183105,1680,0.5266597241998389,0.7695824706694272,0.08518512369796435,1680,0.7922705314009661,0.6475434123715982,0.10747906889068216,1680,0.6666666666666666,0.7488095238095238,0.08166243873234226,1680,0.75,0.5492986457732542,0.11500068561117376,1680,0.5333333333333333,0.8170634920634922,0.1582998743607781,1680,0.8888888888888888
