dataset_variant,config_name,model_class,scaler,resampling,pca,mean,std,median,min,max,count,range,cv_ratio
STRICT,config_kfold,LinearDiscriminantAnalysis,maxabs,none,off,0.4656832690403102,0.047510276547285714,0.47350612067847186,0.3489415651760667,0.5555984748651006,40,0.20665690968903389,0.1020227259725175
STRICT,config_kfold,LinearDiscriminantAnalysis,none,none,off,0.4656832690403102,0.047510276547285714,0.47350612067847186,0.3489415651760667,0.5555984748651006,40,0.20665690968903389,0.1020227259725175
STRICT,config_kfold,LinearDiscriminantAnalysis,robust,none,off,0.4656832690403102,0.047510276547285714,0.47350612067847186,0.3489415651760667,0.5555984748651006,40,0.20665690968903389,0.1020227259725175
STRICT,config_kfold,LinearDiscriminantAnalysis,standard,none,off,0.4656832690403102,0.047510276547285714,0.47350612067847186,0.3489415651760667,0.5555984748651006,40,0.20665690968903389,0.1020227259725175
IMPUTED,config_kfold,SVC,none,smoteenn,off,0.4599876711941655,0.04774566353745174,0.4641432564579059,0.2955931477920605,0.591681173904372,812,0.29608802611231155,0.10379770269385721
STRICT,config_kfold,LogisticRegression,standard,smoteenn,off,0.4877855940602911,0.04806253234359219,0.49178990929674604,0.3467887458817555,0.6120520057604245,960,0.265263259878669,0.09853208649218857
STRICT,config_kfold,SVC,none,smoteenn,off,0.4921326176668983,0.048458904283171816,0.4872492383739533,0.3855353471495006,0.6389478068671426,900,0.253412459717642,0.09846716625470942
STRICT,config_kfold,LogisticRegression,standard,undersample,on,0.5005617871726152,0.048476733127670396,0.504111023948038,0.3349061773188097,0.6150175277925704,3360,0.2801113504737607,0.09684465408653645
IMPUTED,config_kfold,SVC,standard,smoteenn,on,0.4812638773456337,0.048518395766165436,0.481881562989532,0.3189081264015977,0.6236909872454803,5684,0.3047828608438826,0.10081453865551711
STRICT,config_kfold,SVC,standard,undersample,off,0.4700545978845223,0.04870828143596696,0.47211874420072,0.319876000840723,0.5842680225600605,450,0.2643920217193375,0.10362260395957888
STRICT,config_loo,LinearDiscriminantAnalysis,standard,smoteenn,on,0.45740808654377735,0.04874588067730326,0.4528417945174295,0.3850039121605854,0.5590935152446493,56,0.17408960308406396,0.10656978333206166
STRICT,config_kfold,SVC,robust,undersample,off,0.4731789436111308,0.04880542996356249,0.4751602152217731,0.3248243111237735,0.5831676122328207,450,0.25834330110904713,0.10314370625010716
STRICT,config_kfold,SVC,none,smote,off,0.4574778873816402,0.049050122134016175,0.4629635326305216,0.3138675488883375,0.5943923682193561,900,0.28052481933101864,0.10721856397202705
IMPUTED,config_kfold,LinearDiscriminantAnalysis,standard,undersample,on,0.48079696883772993,0.04954825133218,0.4817104549402841,0.347120196229555,0.6069361980968813,560,0.2598160018673263,0.1030544170275388
IMPUTED,config_kfold,LinearDiscriminantAnalysis,standard,smoteenn,on,0.45985245688460463,0.049903439880763005,0.4589754084485286,0.3460776025832444,0.6032020139387505,1120,0.2571244113555061,0.10852054639187407
IMPUTED,config_kfold,LogisticRegression,robust,none,off,0.4541887671662211,0.050481554462356644,0.4633063063909215,0.3069540630017005,0.5857397074948598,240,0.27878564449315935,0.11114663794378193
IMPUTED,config_kfold,LinearDiscriminantAnalysis,maxabs,undersample,on,0.4597895104055952,0.0507932989799406,0.4626211819830114,0.3132259188152942,0.5632912782461226,560,0.25006535943082836,0.110470765057546
STRICT,config_kfold,LinearDiscriminantAnalysis,standard,smote,off,0.4642408504962849,0.05097918054039542,0.46614301173956607,0.3233874358553449,0.5673814713977386,160,0.24399403554239374,0.10981192302637181
STRICT,config_kfold,SVC,standard,smoteenn,off,0.47369244034238067,0.05116876603999316,0.4791669915540957,0.3355738510712552,0.6167102556796752,900,0.28113640460842,0.10802107376467489
STRICT,config_kfold,LinearDiscriminantAnalysis,robust,smote,off,0.465362946495119,0.05232505805912587,0.47850872098526465,0.3308772004408769,0.5758001688234926,160,0.24492296838261574,0.11243924436445153
STRICT,config_loo,LinearDiscriminantAnalysis,maxabs,undersample,off,0.4530489987145031,0.05292968308546369,0.4530489987145031,0.4072105485482321,0.4988874488807742,4,0.09167690033254211,0.11682993061600004
STRICT,config_loo,LinearDiscriminantAnalysis,none,undersample,off,0.4530489987145031,0.05292968308546369,0.4530489987145031,0.4072105485482321,0.4988874488807742,4,0.09167690033254211,0.11682993061600004
STRICT,config_loo,LinearDiscriminantAnalysis,robust,undersample,off,0.4530489987145031,0.05292968308546369,0.4530489987145031,0.4072105485482321,0.4988874488807742,4,0.09167690033254211,0.11682993061600004
STRICT,config_loo,LinearDiscriminantAnalysis,standard,undersample,off,0.4530489987145031,0.05292968308546369,0.4530489987145031,0.4072105485482321,0.4988874488807742,4,0.09167690033254211,0.11682993061600004
